;country;crop_name;crop_id;uncertainty_indicator;odds_ratio_days_heatwave;odds_ratio_days_coldwave;odds_ratio_days_drought;odds_ratio_days_flood;odds_ratio_exp_area_heatwaves;odds_ratio_exp_area_coldwaves;odds_ratio_exp_area_droughts;odds_ratio_exp_area_floods;max_likelihood_pseudo_R2;Wald_Test_p_val_days_heatwave;Wald_Test_p_val_days_coldwave;Wald_Test_p_val_days_drought;Wald_Test_p_val_days_flood;Wald_Test_p_val_exp_area_heatwaves;Wald_Test_p_val_exp_area_coldwaves;Wald_Test_p_val_exp_area_droughts;Wald_Test_p_val_exp_area_floods
274;ES;Temporary grassland;G1000;0.239;1.24815882527569;1.11001314638348;0.986438806914304;1.57175901515749;0.0374627087848387;0.0902306306667899;2.35653278882714;0.649046456492832;0.309311769935889;0.0152852896849532;0.462904410361452;0.597444657747324;0.0603158764486808;0.0216883651151233;0.413729183725648;0.490597044343425;0.403560288262448
238;SK;Rye;C1200;0.239;0.996280812108168;0.995525547405343;1.00258386392322;1.01166731480409;1.35704364979843;1.16273426947618;1.16997534858382;1.30766479615997;0.308624410786657;0.851196684862117;0.807731677752283;0.792208945717411;0.778933948679896;0.393286131932928;0.684336186953171;0.752373110285714;0.286016525345848
125;FR;Temporary grassland;G1000;0.283;0.999378449834659;0.893812192652828;1.02885902684035;1.11114759747784;1.09141981319883;16.2400007289179;0.233241773987018;0.573487221946982;0.308253528098227;0.988537121321796;0.0422560421664487;0.04860533709665;0.603985971653467;0.912696525257898;0.0215364268941343;0.096817411636044;0.296289041791846
245;SK;Sugar beet;R2000;0.565;1.03356135609657;1.00252245791315;0.989305341283791;0.995406069682041;0.613222596632817;1.04038579527744;2.54376390574244;0.927751720916205;0.308038282633081;0.123603936654662;0.897223820758258;0.303757184298539;0.91613605049841;0.199906285556606;0.919581963991277;0.0835281864051575;0.776279828311794
8;AT;Potatoes;R1000;1;1.00366079152341;0.964092229365663;1.00265753690388;0.924540932907521;1.34286567198979;2.74368647300007;0.96454840782249;1.07875576186781;0.302409437404228;0.902269325956749;0.0703957216666015;0.843064432671225;0.738860259643367;0.599176838672121;0.0239982105133633;0.958419883797592;0.856684145272521
128;DE;Wheat & spelt;C1100;0.420043490003572;0.865951479424511;0.987499996351206;1.01172665277186;1.73051589619823;8.58781637148711;1.40333329024181;0.790356598121728;0.285988814401641;0.300200057388979;0.158247773348376;0.540716331258151;0.0751925208240474;0.0529174405239397;0.197489281551954;0.520631142598201;0.676954095744193;0.0910398019540656
34;BG;Oats;C1400;0.109;0.938368993332112;0.937619597806751;1.03902184682113;0.965378154077674;2.1920275185998;4.33481131309626;0.204489952939239;1.40890611638576;0.298278250303104;0.0780635478310381;0.0731586932680335;0.00555956649099021;0.119612420110986;0.222734358176449;0.038218145247145;0.0177930194135781;0.287186163260836
210;PL;Fibre flax;I2100;0.0302137096774194;1.04229418681421;0.992436677447674;0.970532392796014;1.00698439406707;0.612083108524135;1.23978994076457;5.41617980935935;0.81797106491535;0.297356731268269;0.262399366295591;0.712594772398758;0.00956936087967698;0.990320649669164;0.408506837322712;0.670614034049237;0.00291337409938806;0.809300028625696
222;PT;Sugar beet;R2000;0.326;1.07502251739401;0.968010451112193;1.0014910325601;1.16676756076508;0.413959780708299;NA;0.644499337747846;0.489861350816697;0.296040307489562;0.0961165960432988;0.321176117477622;0.83993395857249;0.0585165100255078;0.161199192319233;1;NA;0.317402341632089
259;ES;Barley;C1300;0.935;1.02365939934841;0.928242493095076;1.01179300363843;0.987657680786122;0.449899491920552;4.35276042282925;0.901055482358985;0.876699746589108;0.295656679751066;0.306775198739549;0.214214499512033;0.275948670292547;0.959302934349058;0.138693182082855;0.184111762592954;0.869547100751461;0.837499754065647
