"","year","country","heatwave","coldwave","drought","flood","firerisk"
"315",2015,"EE",3,5,7.271552,0,28.026786
"316",2016,"EE",6,17,17.174528,0,20.651786
"317",2017,"EE",0,0,6.318182,0,2.715686
"318",2018,"EE",24,6,45.518182,0,36.491071
"319",2019,"EE",24,5,35.807576,0,10.892857
"320",2020,"EE",13,0,13.847222,0,11.553571
"321",1981,"EL",21,73,82.062009,0,92.405845
"322",1982,"EL",19,24,12.957983,0,49.059006
"323",1983,"EL",0,48,85.725799,0,57.025066
"324",1984,"EL",7,9,61.215278,0,134.489617
"325",1985,"EL",17,63,84.272827,0,141.345216
"326",1986,"EL",6,29,122.514585,0,92.741978
"327",1987,"EL",42,53,38.765442,0,89.5476939
"328",1988,"EL",30,59,144.822593,0,157.158779
"329",1989,"EL",0,62,110.991168,0,53.390542
"330",1990,"EL",7,36,438.811323,0,99.917781
"331",1991,"EL",0,107,22.618421,0,55.046559
"332",1992,"EL",11,63,113.295273,0,91.736022
"333",1993,"EL",22,50,131.472769,0,157.529366
"334",1994,"EL",9,37,111.260971,4,125.177798
"335",1995,"EL",3,68,78.020862,0,58.467426
"336",1996,"EL",6,42,46.838231,0,52.126305
"337",1997,"EL",20,30,83.12059,0,94.557674
"338",1998,"EL",49,16,78.245879,0,101.511009
"339",1999,"EL",48,15,62.272439,0,70.436018
"340",2000,"EL",38,25,236.833136,0,140.142697
"341",2001,"EL",30,69,189.28186,1,162.528611
"342",2002,"EL",30,41,159.138069,5,50.737743
"343",2003,"EL",41,61,66.659175,12,73.294822
"344",2004,"EL",16,37,60.246949,0,68.981452
"345",2005,"EL",17,63,66.123029,0,43.631216
"346",2006,"EL",27,70,64.591153,4,68.9782
"347",2007,"EL",79,6,127.103599,12,136.931301
"348",2008,"EL",21,21,198.985624,0,137.646633
"349",2009,"EL",21,23,40.601454,0,66.143653
"350",2010,"EL",60,32,142.918326,2,35.161825
"351",2011,"EL",40,51,38.80981,0,75.403329
"352",2012,"EL",136,52,114.958453,1,163.67582
"353",2013,"EL",37,33,108.220106,0,122.854065
"354",2014,"EL",36,12,27.67913,9,37.197826
"355",2015,"EL",73,32,47.825402,14,36.533037
"356",2016,"EL",58,31,140.364428,0,62.215162
"357",2017,"EL",73,33,111.516825,7,95.555935
"358",2018,"EL",61,6,142.167573,0,40.193812
"359",2019,"EL",72,25,37.064237,0,108.818223
"360",2020,"EL",34,0,66.43684,1,63.148761
"361",1981,"ES",43,28,89.913383,0,103.017702
"362",1982,"ES",30,22,117.98038,0,53.712759
"363",1983,"ES",41,72,191.305248,0,137.602424
"364",1984,"ES",18,47,55.549577,0,91.876004
"365",1985,"ES",10,120,106.944068,0,188.882503
"366",1986,"ES",15,82,112.936481,0,86.312243
"367",1987,"ES",36,87,95.175448,2,76.500308
"368",1988,"ES",3,31,68.037494,0,108.145304
"369",1989,"ES",35,0,73.835605,0,115.055309
"370",1990,"ES",34,46,143.306198,0,73.871472
"371",1991,"ES",66,69,130.575608,0,94.734161
"372",1992,"ES",19,40,201.215606,0,45.751227
"373",1993,"ES",23,61,75.247004,0,52.657882
"374",1994,"ES",71,44,373.26733,0,166.717079
"375",1995,"ES",29,16,318.565123,0,132.864108
"376",1996,"ES",15,63,62.692268,5,79.109647
"377",1997,"ES",7,41,224.123696,8,47.090369
"378",1998,"ES",25,45,80.154139,0,98.050085
"379",1999,"ES",20,51,162.283724,0,62.571465
"380",2000,"ES",23,49,205.135397,8,175.470691
"381",2001,"ES",46,68,153.737686,0,144.07792
"382",2002,"ES",39,4,82.436853,0,64.619761
"383",2003,"ES",154,70,94.035428,0,145.976586
"384",2004,"ES",41,18,72.519284,1,154.113676
"385",2005,"ES",59,81,379.691453,0,173.914359
"386",2006,"ES",52,45,201.06432,12,155.90577
"387",2007,"ES",16,32,63.41778,18,100.404398
"388",2008,"ES",17,84,89.310989,0,72.91518
"389",2009,"ES",50,55,249.532095,0,214.344726
"390",2010,"ES",46,94,80.003613,1,111.847257
"391",2011,"ES",47,34,131.73734,0,221.890871
"392",2012,"ES",117,82,488.577122,3,256.374202
"393",2013,"ES",63,53,104.033885,2,144.680999
"394",2014,"ES",24,12,163.641843,0,96.664348
"395",2015,"ES",147,62,232.579086,6,148.629799
"396",2016,"ES",55,21,147.353255,16,190.058632
"397",2017,"ES",173,40,195.160337,0,225.503811
"398",2018,"ES",69,70,60.705044,0,81.852115
"399",2019,"ES",117,28,326.84213,3,184.271461
"400",2020,"ES",105,43,111.164278,0,131.895413
"401",1981,"FI",0,25,24.08489,0,7.539679
"402",1982,"FI",3,37,57.161115,0,32.14237
"403",1983,"FI",4,21,14.694047,0,24.707344
"404",1984,"FI",9,10,29.954449,0,18.262476
"405",1985,"FI",6,88,37.849181,0,30.182945
"406",1986,"FI",12,48,26.060177,0,35.332198
"407",1987,"FI",0,55,12.767141,0,21.3650286
"408",1988,"FI",22,32,20.876716,0,33.159371
"409",1989,"FI",15,17,22.831779,0,39.76041
"410",1990,"FI",10,12,62.225449,0,46.425494
"411",1991,"FI",7,4,19.778021,0,16.052171
"412",1992,"FI",19,36,52.407657,0,47.705279
"413",1993,"FI",0,14,60.103541,0,25.632322
"414",1994,"FI",12,32,56.377344,0,47.753183
"415",1995,"FI",12,23,45.043478,0,44.749948
"416",1996,"FI",14,19,118.470799,0,81.464382
"417",1997,"FI",31,14,57.984836,0,57.403125
"418",1998,"FI",0,39,17.431274,0,12.199911
"419",1999,"FI",17,35,73.010048,0,86.018205
"420",2000,"FI",5,6,26.904944,0,31.051759
"421",2001,"FI",9,28,24.587102,0,44.026189
"422",2002,"FI",44,71,116.605578,0,83.149356
"423",2003,"FI",32,25,63.116641,0,48.198534
"424",2004,"FI",22,12,21.449302,0,14.303772
"425",2005,"FI",11,5,21.044098,1,44.894624
"426",2006,"FI",16,18,63.207899,0,68.67702
"427",2007,"FI",11,10,30.94733,0,22.846445
"428",2008,"FI",7,3,55.951582,0,33.244993
"429",2009,"FI",14,16,20.301992,0,23.529252
"430",2010,"FI",34,60,48.831955,0,41.168972
"431",2011,"FI",30,18,39.74901,0,14.254943
"432",2012,"FI",5,27,27.346971,0,6.396429
"433",2013,"FI",24,3,49.66945,0,28.086826
"434",2014,"FI",46,11,40.701377,0,31.815369
"435",2015,"FI",12,8,34.807642,0,34.907592
"436",2016,"FI",10,23,23.159375,0,37.03493
"437",2017,"FI",5,0,57.064614,0,11.965578
"438",2018,"FI",53,3,133.141159,0,72.699601
"439",2019,"FI",37,14,46.201474,0,29.676647
"440",2020,"FI",39,0,97.255432,0,38.966068
"441",1981,"FR",22,121,59.545304,0,61.400365
"442",1982,"FR",86,61,208.236952,0,78.495264
"443",1983,"FR",129,106,130.480326,3,222.555206
"444",1984,"FR",26,32,148.338752,0,138.063371
"445",1985,"FR",3,367,182.815773,0,424.455694
"446",1986,"FR",43,218,136.773952,0,144.648642
"447",1987,"FR",22,233,118.210547,0,75.7554198
"448",1988,"FR",0,75,81.539268,1,114.437475
"449",1989,"FR",58,37,587.424985,0,554.340406
"450",1990,"FR",89,60,870.676247,0,547.470409
"451",1991,"FR",38,165,341.039611,0,269.303305
"452",1992,"FR",40,137,333.545661,2,104.369138
"453",1993,"FR",30,164,392.86395,13,169.77337
"454",1994,"FR",73,73,186.95483,1,158.115814
"455",1995,"FR",104,101,227.828784,0,282.012992
"456",1996,"FR",27,158,414.620267,7,407.47161
"457",1997,"FR",68,127,569.231752,0,260.656274
"458",1998,"FR",43,138,278.797027,0,205.77699
"459",1999,"FR",34,90,131.579441,4,166.508694
"460",2000,"FR",38,36,147.766788,0,150.793422
"461",2001,"FR",57,107,189.732524,26,209.713327
"462",2002,"FR",55,20,147.902961,13,97.011077
"463",2003,"FR",328,161,1001.285599,8,540.174308
"464",2004,"FR",44,42,288.804827,0,344.695194
"465",2005,"FR",122,191,329.775097,4,343.388398
"466",2006,"FR",195,51,342.083512,0,297.08439
"467",2007,"FR",24,106,256.313884,0,161.270793
"468",2008,"FR",3,66,111.912991,0,129.676584
"469",2009,"FR",50,100,242.776991,0,427.046771
"470",2010,"FR",61,240,309.510933,6,239.639506
"471",2011,"FR",54,37,860.44385,2,323.373368
"472",2012,"FR",99,233,374.130631,0,233.380111
"473",2013,"FR",100,151,165.820774,6,221.077808
"474",2014,"FR",70,18,326.3372,19,154.591634
"475",2015,"FR",207,83,563.255169,1,420.840568
"476",2016,"FR",92,74,298.250211,0,415.168736
"477",2017,"FR",238,103,504.146209,1,333.169099
"478",2018,"FR",210,80,550.170477,0,622.280784
"479",2019,"FR",242,31,621.253499,0,555.463054
"480",2020,"FR",148,56,1059.365174,6,504.234322
"481",1981,"HR",4,26,16.903339,0,7.99291
"482",1982,"HR",0,12,7.333333,0,9.758298
"483",1983,"HR",6,15,35.356713,0,26.427006
"484",1984,"HR",3,5,8.167347,0,10.339349
"485",1985,"HR",5,38,12.868889,0,41.077022
"486",1986,"HR",0,10,10.268293,0,26.805027
"487",1987,"HR",0,15,17.540323,0,24.4350628
"488",1988,"HR",10,15,32.010661,0,29.123429
"489",1989,"HR",8,10,18.371007,0,6.506284
"490",1990,"HR",3,3,24.818182,1,17.541089
"491",1991,"HR",6,25,20.148515,0,15.253303
"492",1992,"HR",15,1,68.338188,0,39.843055
"493",1993,"HR",0,28,31.142157,0,27.161779
"494",1994,"HR",12,13,14.113703,0,20.860458
"495",1995,"HR",0,16,9.258427,0,19.844989
"496",1996,"HR",5,18,10.312217,0,10.879149
"497",1997,"HR",0,8,13.998043,0,14.467934
"498",1998,"HR",12,12,21.108456,0,14.122784
"499",1999,"HR",7,13,7.705479,0,14.219465
"500",2000,"HR",13,4,44.739482,3,50.796971
"501",2001,"HR",5,14,13.619335,0,20.877216
"502",2002,"HR",9,14,12.147343,0,7.78698
"503",2003,"HR",36,18,99.708738,0,41.493071
"504",2004,"HR",4,5,15.379562,0,15.293265
"505",2005,"HR",5,13,14.680851,1,11.66613
"506",2006,"HR",14,10,22.152249,4,20.98163
"507",2007,"HR",13,12,42.720065,0,22.842733
"508",2008,"HR",5,3,10.327198,0,23.091847
"509",2009,"HR",5,17,26.130288,0,32.200129
"510",2010,"HR",10,8,7.94186,6,7.691589
"511",2011,"HR",15,7,71.16828,0,48.831776
"512",2012,"HR",29,19,75.453074,1,46.205607
"513",2013,"HR",19,6,33.108153,0,26.551402
"514",2014,"HR",6,7,15.665782,5,4.421569
"515",2015,"HR",34,1,46.019449,2,28.925234
"516",2016,"HR",9,10,20.698276,0,7.733333
"517",2017,"HR",20,16,57.027687,0,34.981308
"518",2018,"HR",25,7,13.459552,2,14.11215
"519",2019,"HR",26,3,24.351005,0,19.934579
"520",2020,"HR",6,3,50.090615,0,16.168224
"521",1981,"HU",10,25,41.450732,0,36.92058
"522",1982,"HU",7,48,22.810948,0,22.085797
"523",1983,"HU",3,40,50.176059,0,72.117611
"524",1984,"HU",0,12,25.39167,0,47.229775
"525",1985,"HU",4,113,14.820755,0,74.526341
"526",1986,"HU",6,36,42.725167,0,114.932704
"527",1987,"HU",0,46,34.894772,0,75.526902
"528",1988,"HU",17,45,43.561591,0,60.591503
"529",1989,"HU",7,22,15.633333,0,20.492761
"530",1990,"HU",9,3,163.072788,0,94.776012
"531",1991,"HU",8,49,29.154602,0,36.303284
"532",1992,"HU",43,1,184.304907,0,137.983881
