"","country","crop","crop_id","type","Scarecity","activity","pb","r.squared","zero_counter"
"182","AT","I1120","Sunflower","heat waves","0.9","AT_p081","0.848702623596283","0.111886117166988","0.0588235294117647"
"183","AT","I1120","Sunflower","heat waves","0.9","AT_p084","0.455605739719163","0.211581886149282","0.0588235294117647"
"184","AT","I1120","Sunflower","heat waves","0.9","AT_p085","0.984817000230457","0.0488732009002494","0.0294117647058824"
"185","AT","I1120","Sunflower","heat waves","0.9","AT_p087","0.799941235237227","0.1259159004362","0.0294117647058824"
"186","AT","I1120","Sunflower","heat waves","0.9","AT_p088","0.922234248936628","0.0862682600957433","0.0294117647058824"
"187","AT","I1120","Sunflower","heat waves","0.9","AT_p089","0.930888176145871","0.0825741970575088","0.0294117647058824"
"188","AT","I1120","Sunflower","heat waves","0.9","AT_p090","0.512153391079775","0.197295258661499","0.0294117647058824"
"189","AT","I1120","Sunflower","heat waves","0.9","AT_p091","0.203125657314127","0.290929231123742","0.0294117647058824"
"190","AT","I1120","Sunflower","heat waves","0.9","AT_p096","0.348625370498163","0.240898626040668","0.0588235294117647"
"191","AT","I1120","Sunflower","heat waves","0.9","AT_p099","0.386838864073856","0.229974132341483","0.0294117647058824"
"192","AT","I1120","Sunflower","heat waves","0.9","AT_p101","0.854588145213837","0.11008112808616","0.0294117647058824"
"193","AT","I1120","Sunflower","heat waves","0.9","AT_p102","0.971383544270407","0.0604389565998219","0.0294117647058824"
"194","AT","I1120","Sunflower","heat waves","0.9","AT_p104","0.833911525074794","0.116301683943535","0.0294117647058824"
"195","AT","I1120","Sunflower","heat waves","0.9","AT_p106","0.611566444717383","0.173117022734857","0.0294117647058824"
"196","AT","I1120","Sunflower","heat waves","0.9","AT_p107","0.741102538416667","0.141394401177256","0.0294117647058824"
"197","AT","I1120","Sunflower","heat waves","0.9","AT_p108","0.319793140339903","0.249588004922306","0.0294117647058824"
"198","AT","I1120","Sunflower","heat waves","0.9","AT_p109","0.0866125896459779","0.355557700992524","0.0294117647058824"
"199","AT","I1120","Sunflower","heat waves","0.9","AT_p110","0.357454095007317","0.238319651250556","0.0294117647058824"
"200","AT","I1120","Sunflower","heat waves","0.9","AT_p115","0.0126852666963248","0.467684534514605","0.0294117647058824"
"201","AT","I1130","Soya","heat waves","0.6","AT_p002","0.155656212012843","0.312592431553112","0.0294117647058824"
